,IMO,LENGTH ,BREATH,DEPTH,DRAUGHT,TEU,LLINO
285,9637234,356.5,48.4,29.9,15.52,13154.0,11004334
286,9637222,365.5,48.4,29.9,14,13154.0,11004335
287,9637155,255.0,37.4,22.1,13.5,5023.0,11004338
288,9635688,270.0,42.8,24.8,14.5,6900.0,11004397
289,9635676,270.07,42.8,24.8,1.45,6881.0,11004398
290,9635664,270.07,42.79,24.8,1.45,6881.0,11004399
291,9635652,270.07,42.87,24.86,13,6900.0,11004400
292,9635640,270.0,42.8,24.8,14.5,6700.0,11004401
293,9635420,145.71,,11.2,8.22,1060.0,11004417
294,9635418,145.71,,11.2,8.22,1060.0,11004418
295,9634696,171.93,,13.8,9.5,1705.0,11004458
296,9634672,172.0,,13.8,9.5,1705.0,11004460
297,9634660,172.0,,13.8,9.5,1705.0,11004470
298,9634658,171.9,27.46,13.8,9.5,1705.0,11004471
299,9634646,171.9,,13.8,9.5,1705.0,11004472
300,9633965,333.2,48.25,26.8,14.52,9669.0,11004494
301,9633953,333.15,48.25,26.8,14.52,9669.0,11004495
302,9633941,333.2,48.2,26.8,14.52,9669.0,11004496
303,9633939,333.2,48.2,26.8,14.52,9669.0,11004497
304,9633757,143.9,,11.2,8.21,1040.0,11004503
305,9633745,143.9,,11.2,8.21,1040.0,11004505
306,9632832,255.4,,22.1,13.5,5023.0,11004577
307,9632820,255.4,,22.1,13.5,5023.0,11004578
308,9632777,221.0,,18.9,12.02,3560.0,11004586
309,9632765,221.16,,18.9,12.02,3560.0,11004587
310,9632753,221.16,,18.9,12.02,3560.0,11004588
311,9632741,221.0,,18.9,12,3560.0,11004589
312,9632507,249.97,,22.1,13.52,4532.0,11004593
313,9632492,249.97,,22.1,13.52,4532.0,11004594
314,9632480,249.97,,22.1,14,4532.0,11004595
315,9632210,328.2,,27.1,15.5,9200.0,11004612
316,9632208,328.2,,27.1,13,9200.0,11004613
317,9631967,397.56,51.0,29.85,15.52,13892.0,11005259
318,9632167,399.2,,30.3,16,18270.0,11005371
319,9631993,397.56,51.0,29.85,15.52,13892.0,11005380
320,9632143,399.2,,30.3,16,18270.0,11005383
321,9631125,228.0,,19.3,12.45,3610.0,11005415
322,9631876,251.02,,19.8,12.5,5001.0,11005481
323,9632026,397.56,51.0,29.85,16,13892.0,11005506
324,9631113,228.0,,19.3,12.45,3614.0,11005600
325,9631101,228.0,,19.3,12.45,3610.0,11005617
326,9632064,399.2,59.0,30.3,16,18270.0,11005619
327,9631979,397.56,51.0,29.85,15.52,13892.0,11005638
328,9631955,397.88,51.0,29.85,16,17292.0,11005640
329,9632038,368.5,51.0,29.85,15.52,13892.0,11005939
330,9632129,399.2,59.0,30.3,16.03,18270.0,11005950
331,9632179,399.2,,30.3,16,18340.0,11006051
332,9629158,171.84,,13.8,9.5,1740.0,11006055
333,9632155,399.2,60.0,30.3,16.03,18000.0,11006168
334,9632014,397.56,51.0,29.85,16,13892.0,11006350
335,9631137,228.0,,19.3,12.45,3610.0,11006394
336,9632105,399.2,59.0,30.3,16,18270.0,11006544
337,9632131,399.2,60.0,30.3,16.03,18270.0,11006588
338,9631981,397.56,51.0,29.85,16,13892.0,11006768
339,9629160,171.89,,13.8,9.5,1700.0,11006960
340,9630377,336.9,48.31,27.2,15.5,10100.0,11006981
341,9632117,399.2,59.0,30.3,16,18340.0,11007215
342,9632002,397.56,51.0,29.85,16,13892.0,11007229
343,9632090,399.0,59.0,30.3,16,18270.0,11007232
344,9632040,368.0,51.0,29.85,15.52,13892.0,11007256
345,9639593,143.18,,11.3,8.3,1100.0,11016069
346,9639658,143.18,,11.3,7.4,1100.0,11016148
347,9639622,143.17,,11.3,7.4,1100.0,11016189
348,9639610,143.17,,11.3,8.3,1100.0,11016608
349,9639634,143.14,,11.3,8.3,1100.0,11016628
350,9639608,143.16,,11.3,8.3,1100.0,11016629
351,9639660,143.17,,11.3,8.3,1100.0,11016669
352,9639646,143.19,,11.3,8.3,1100.0,11017049
353,9638977,299.95,,24.6,14,6606.0,11025357
354,9641156,146.2,,11.2,8.21,1000.0,11025573
355,9638965,299.95,,24.6,14,6606.0,11025574
356,9641223,270.07,42.8,24.8,14.5,6881.0,11025628
357,9641235,270.07,42.8,24.8,1.45,6881.0,11025629
358,9641314,140.68,23.2,11.5,8.7,875.0,11026086
359,9640994,172.0,,17.0,9.52,2034.0,11026091
360,9641003,172.0,,17.0,9.52,2034.0,11026092
361,9645865,335.35,,27.2,14,10036.0,11032308
362,9645853,335.35,,27.2,14,10036.0,11032329
363,9645918,335.0,,27.2,14,10036.0,11032648
364,9645906,334.96,48.63,27.2,14,10036.0,11032729
365,9645891,334.94,,27.2,15,10036.0,11032828
366,9645889,335.36,,27.2,14,10036.0,11032829
367,9645920,335.0,48.6,27.2,14,10000.0,11032850
368,9645877,335.32,,27.2,14,10036.0,11032870
369,9638329,141.03,,11.4,8.21,1103.0,11034728
370,9638331,141.03,,11.4,8.21,1103.0,11036468
371,9647473,399.0,,29.9,15.5,15908.0,11039503
372,9647461,399.0,,29.9,16.02,16652.0,11039506
373,9509097,79.8,,6.5,4.8,295.0,11039909
374,9646613,224.9,,19.7,14.2,,11053768
375,9650078,172.1,12.0,16.5,10.01,1850.0,11057209
376,9650066,172.1,9.0,16.5,10.01,1850.0,11057246
377,9461623,261.03,32.25,16.0,12.6,4249.0,1106465
378,—,109.0,18.0,,—,,11065556
379,9453365,261.03,32.25,19.3,12.6,4249.0,1106777
380,—,31.0,9.0,,3.9,,11069108
381,9650652,90.35,,6.0,4.3,236.0,11069329
382,9654464,255.36,,19.6,13,4957.0,11083350
383,9656759,172.1,,16.5,10.01,1850.0,11083351
384,9656319,143.2,,11.3,7.4,1046.0,11101471
385,9656280,143.2,,11.3,7.4,1042.0,11101498
386,9656307,143.2,,11.3,7.4,1046.0,11101505
387,9656292,143.2,,11.3,7.4,1042.0,11101506
388,9658446,184.93,30.03,16.5,9.5,2190.0,11107508
389,9658458,184.9,30.04,16.5,9.5,2190.0,11107608
390,9656137,255.36,37.3,19.6,12.5,4957.0,11139180
391,9660011,293.18,,24.3,14.02,6350.0,11145116
392,9644990,228.0,,19.85,12.52,3884.0,11145120
393,9649835,228.0,,19.85,12.52,3884.0,11145122
394,9664275,148.0,,11.5,8.5,1102.0,11162788
395,9664263,148.0,,11.5,8.5,1102.0,11162789
396,9665671,255.0,37.3,22.0,13.92,5466.0,11171550
397,9665669,255.0,37.3,22.0,13.9,5466.0,11171554
398,9665657,255.0,37.3,22.0,13.9,5466.0,11171556
399,9665695,255.0,37.3,18.31,13.92,5380.0,11171559
400,9665683,255.0,37.3,22.0,13.9,5466.0,11171561
401,—,62.0,13.0,,0.3,,11174771
402,9665619,368.47,51.0,26.0,15.8,13800.0,11176652
403,9665621,368.48,,29.85,15.8,13806.0,11176654
404,9665607,368.47,,29.85,15.8,13806.0,11176657
405,9665645,368.46,51.0,29.85,15.8,13806.0,11176658
406,9665592,368.45,,29.85,15.8,13800.0,11176660
407,9665633,368.48,,29.85,15.8,13806.0,11176688
408,8653891,50.0,14.0,,—,,11182938
409,9666869,147.9,,11.5,7.3,1098.0,11185830
410,9666845,147.9,,11.5,7.3,1098.0,11185832
411,9666871,147.9,,11.5,7.3,1098.0,11185905
412,9666857,147.9,,11.5,7.3,1098.0,11185908
413,9667186,368.43,51.0,29.85,15.8,13800.0,11208148
414,9667162,368.44,51.0,29.85,15.81,13806.0,11208348
415,9667174,368.5,51.06,29.85,15.81,13806.0,11208488
416,9667150,368.42,,29.85,15.8,13806.0,11208548
417,9444261,293.18,40.01,24.3,14.02,6350.0,1121104
418,9460071,148.0,,11.0,8.15,1088.0,1121396
419,9460057,148.0,,11.0,8.15,1102.0,1121398
420,9664885,293.18,,24.3,24.3,6350.0,11230099
421,9670107,184.94,,16.5,9.5,2190.0,11230228
422,9667318,179.9,,14.2,10.2,1744.0,11230272
423,9670119,184.94,,16.5,9.5,2190.0,11230273
424,9669639,146.2,,11.2,8.21,1006.0,11230928
425,9664897,293.18,,24.3,14.02,6350.0,11231029
426,9645463,228.0,,19.6,12.5,3889.0,11277108
427,9645487,228.0,,19.6,12.5,3889.0,11277248
428,9645451,228.0,,19.6,12.5,3889.0,11288990
429,9645475,228.0,,19.6,12.5,3889.0,11323308
430,9674531,299.95,,24.6,14.8,9365.0,11333908
431,9674529,299.95,,24.6,14.8,9365.0,11333928
432,9674555,299.95,,24.6,14.8,9365.0,11333968
433,9674517,299.95,,24.6,14.8,9365.0,11334028
434,9674543,299.95,,24.6,14.8,9365.0,11334128
435,9674567,299.95,,24.6,14.8,9365.0,11334168
436,9671890,120.0,22.0,7.3,5.2,558.0,11338290
437,7617890,247.9,27.44,16.15,10.08,2361.0,113543
438,9672387,120.0,22.0,7.3,4.3,558.0,11361767
439,9674579,91.0,19.6,5.8,4.3,300.0,11373641
440,9676735,189.0,,16.9,10.5,2345.0,11377928
441,9676711,189.0,,16.9,10.5,2339.0,11377988
442,9676709,188.87,,16.9,10.5,2339.0,11378168
443,9676723,189.0,,16.9,10.5,2345.0,11378208
444,9658848,99.52,,8.29,4.91,190.0,11393713
445,7711749,104.0,16.01,8.45,6.59,316.0,114127
446,9672399,120.0,22.0,7.3,5.2,558.0,11441344
447,—,64.0,13.0,,3.8,,11451288
448,9672375,119.9,,7.3,5.2,558.0,11472770
449,9672363,120.0,22.0,7.3,5.2,558.0,11480589
450,9673642,169.97,,14.2,9.5,1700.0,11482328
451,9673630,169.94,,14.2,9.5,1730.0,11482808
452,9670274,120.0,22.0,7.3,5.2,558.0,11533177
453,7813157,128.0,21.01,10.5,7.7,500.0,115346
454,9679892,299.9,,27.2,12.5,9448.0,11541187
455,9679907,299.9,,20.24,15,9448.0,11541713
456,9679555,270.9,42.88,24.62,12.5,6845.0,11541733
457,7811111,145.0,22.01,11.1,8.44,602.0,115777
458,9675808,148.0,,11.5,8.5,1102.0,11594948
459,9679919,299.9,,27.2,12.5,9448.0,11595309
460,9676199,184.9,,16.5,9.5,2190.0,11595348
461,9675834,148.0,,11.5,8.5,1102.0,11595381
462,9678642,169.94,,14.2,9.5,1700.0,11595389
463,9676204,184.84,,16.5,9.5,2190.0,11595390
464,9675810,148.0,,11.5,8.5,1102.0,11595394
465,9674646,141.03,,11.4,8.21,900.0,11595628
466,9678630,169.94,28.15,14.2,9.5,1700.0,11595792
467,9670822,227.97,,19.85,12.5,3820.0,11596148
468,9670834,227.97,37.37,19.85,12.5,3820.0,11596188
469,9672351,119.9,,7.3,5.2,558.0,11596289
470,9675822,147.9,,11.5,8.5,1102.0,11596308
471,7809376,96.0,20.05,8.0,5.5,210.0,116201
472,9680853,233.0,32.2,18.28,10.5,3100.0,11628208
473,9680841,233.0,32.2,18.28,10.36,3100.0,11628248
474,9681273,228.0,,19.6,12.5,3889.0,11672569
475,9681259,228.0,,19.6,12.5,3889.0,11672585
476,9681314,228.0,,19.6,11.5,3889.0,11672586
477,9681247,228.0,,19.6,12.5,3900.0,11672590
478,9681261,228.0,,19.6,12.5,3889.0,11672593
